company_name,email,phone,city,state,website,industry,reviews_count,reviews_rating
Bangkok Boxing Fitness- Midtown,,(404) 603-9898,Atlanta,GA,,fitness,75,3.6
Workout Anytime Buckhead,,(404) 355-7290,Atlanta,GA,,fitness,74,2.5
Urban Body Fitness,,(404) 885-1499,Atlanta,GA,,fitness,73,3.6
The Forum Athletic Club,,(678) 904-1940,Atlanta,GA,,fitness,72,4.6
Invitation Homes,,(770) 442-3372,Sandy Springs,GA,,real estate,757,1.6
Promove,,(404) 869-4900,Atlanta,GA,,real estate,146,3.7
Anna K Intown Real Estate Services,,(678) 400-9151,Atlanta,GA,,real estate,109,4.9
NACA,,(404) 377-4545,Decatur,GA,,real estate,105,3.7
Peachtree Park,,(678) 944-8291,Atlanta,GA,,real estate,95,2.9
Premium Title,,(855) 339-6325,Atlanta,GA,,real estate,87,1.3
Promove,,(404) 320-9696,Atlanta,GA,,real estate,74,3.6
Justin Landis Group,,(404) 860-1816,Atlanta,GA,,real estate,71,4.8
Mynd Property Management Atlanta,,(470) 306-0496,Atlanta,GA,,real estate,64,1.3
Elle of Buckhead Apartments,,(678) 391-4782,Atlanta,GA,,real estate,59,2.7
The Zac Team - REMAX Metro,,(404) 863-2001,Atlanta,GA,,real estate,59,4.8
AMLI Piedmont Heights,,(844) 823-8043,Atlanta,GA,,real estate,59,3.1
The Bryant at Buckhead Village,,(770) 412-2116,Atlanta,GA,,real estate,54,3.8
Camden Brookwood Apartments,,(678) 336-5187,Atlanta,GA,,real estate,54,3.5
1824 Defoor Apartments,,(404) 352-8777,Atlanta,GA,,real estate,53,4.5
Ford Factory Lofts,,(404) 874-5237,Atlanta,GA,,real estate,52,3.3
AMLI Old 4th Ward,,(855) 642-2772,Atlanta,GA,,real estate,52,3.2
Post Creek Mortgage,,(404) 217-9758,Atlanta,GA,,real estate,42,5.0
Barney Fletcher Schools,,(770) 850-9090,Atlanta,GA,,real estate,42,3.6
AMLI Ponce Park,,(855) 638-9602,Atlanta,GA,,real estate,41,4.0
Tuscany at Lindbergh Apartments,,(470) 594-2163,Atlanta,GA,,real estate,39,2.4
Tracy Holden Realty,,(310) 922-4980,Atlanta,GA,,real estate,34,5.0
Community & Council Realty,,(404) 600-1367,Atlanta,GA,,real estate,34,4.8
Kelly Did It Again - Keller Williams Realty,,(404) 419-3601,Atlanta,GA,,real estate,31,4.9
Worth Every Dollar Appraisals,,(404) 835-7481,Atlanta,GA,,real estate,30,4.9
